epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,264.376,1.52876,0.60119,0.36286,1.16731,1.45572,0.98411,1,0.995,0.54853,0.92283,0.9375,0.88503,0.85951,1.43212,0.89549,0.12973,0.90691,1.72902,0.00098366,0.00098366,0.00098366
55,270.623,1.52139,0.45976,0.32965,1.15825,1.49986,0.98486,1,0.995,0.65479,0.92329,0.9375,0.88031,0.85915,1.23896,0.90247,0.13718,0.84687,1.60534,0.000970767,0.000970767,0.000970767
56,274.972,1.48682,0.44401,0.36041,1.15502,1.44917,0.96297,1,0.995,0.63656,0.90174,0.9375,0.88031,0.8733,1.27233,0.8709,0.09001,0.87398,1.73286,0.000957874,0.000957874,0.000957874
57,278.78,1.5158,0.61498,0.32333,1.15733,1.49285,0.9436,1,0.995,0.62742,0.88374,0.9375,0.88437,0.86976,1.27593,0.87991,0.13657,0.87714,1.7098,0.000944981,0.000944981,0.000944981
58,282.488,1.47131,0.54473,0.35347,1.13127,1.43729,0.94555,1,0.995,0.648,0.88555,0.9375,0.88031,0.84514,1.21733,0.91738,0.15286,0.87725,1.58444,0.000932087,0.000932087,0.000932087
59,286.224,1.46246,0.65815,0.34278,1.12043,1.44955,0.95412,0.96875,0.94617,0.62501,0.92335,0.9375,0.89563,0.8143,1.30973,1.03409,0.12774,0.88208,1.52782,0.000919194,0.000919194,0.000919194
60,290.124,1.50895,0.57669,0.32514,1.07234,1.44583,0.98742,1,0.995,0.61423,0.92607,0.9375,0.912,0.83152,1.26555,1.03151,0.12986,0.81269,1.54592,0.000906301,0.000906301,0.000906301
61,293.964,1.50948,0.54351,0.32046,1.08779,1.50145,0.98842,1,0.995,0.6179,0.92688,0.9375,0.90583,0.87539,1.27031,0.89121,0.11952,0.85967,1.54761,0.000893408,0.000893408,0.000893408
62,297.819,1.51064,0.59514,0.28621,1.10424,1.5045,0.98182,1,0.995,0.6311,0.92078,0.9375,0.90835,0.89197,1.25601,0.83446,0.10698,0.83976,1.54464,0.000880515,0.000880515,0.000880515
63,301.68,1.54026,0.49877,0.2989,1.16843,1.49787,0.97798,1,0.995,0.6203,0.91724,0.9375,0.90214,0.8654,1.26026,0.86738,0.09234,0.85413,1.55049,0.000867621,0.000867621,0.000867621
64,305.578,1.46598,0.57527,0.35022,1.13069,1.42535,0.98217,1,0.995,0.56277,0.92105,0.9375,0.90125,0.8656,1.39361,0.87376,0.10125,0.929,1.64386,0.000854728,0.000854728,0.000854728
65,309.407,1.50685,0.63191,0.30117,1.08945,1.45259,0.98718,1,0.995,0.61508,0.92535,0.9375,0.90528,0.87935,1.29046,0.88465,0.09721,0.9167,1.57055,0.000841835,0.000841835,0.000841835
66,313.141,1.49885,0.51142,0.29995,1.12804,1.4597,0.99095,1,0.995,0.6467,0.92888,0.9375,0.90229,0.879,1.228,0.9175,0.09811,0.87729,1.50799,0.000828942,0.000828942,0.000828942
67,317.121,1.51784,0.62767,0.33259,1.19344,1.48137,0.96259,0.96875,0.96837,0.63306,0.93157,0.9375,0.90303,0.87326,1.25219,0.93538,0.0918,0.85073,1.46668,0.000816049,0.000816049,0.000816049
